T2M,WS10M,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,rain_label
21.62,4.8,58.31,93.43,345.24,29.71,0
23.0,3.88,62.0,93.34,369.35,19.13,1
24.53,3.82,61.81,93.15,367.93,28.61,0
27.12,2.79,53.06,92.86,393.89,26.74,0
23.87,2.64,60.44,93.36,390.54,24.0,0
25.31,3.15,57.12,93.37,379.55,27.76,0
24.4,2.16,64.31,93.17,390.76,17.56,0
20.23,3.35,78.38,93.15,375.17,12.85,0
18.86,3.18,73.38,93.08,365.0,13.96,0
18.89,3.6,54.94,93.42,316.6,27.76,0
22.05,5.38,64.31,93.1,358.01,25.76,1
19.74,3.75,59.12,93.44,328.34,28.79,0
25.43,4.7,58.19,92.89,369.09,27.78,0
26.4,2.52,57.69,92.73,383.87,27.2,0
24.19,3.6,69.25,93.26,376.71,26.55,0
23.72,3.79,71.38,93.54,387.48,24.27,0
23.92,5.73,74.56,93.17,399.27,17.93,0
28.43,5.98,53.5,92.36,399.12,25.54,0
27.29,5.37,55.88,92.55,382.36,27.39,0
23.83,4.62,68.31,93.14,384.26,20.64,0
23.32,2.23,67.25,93.56,370.66,22.11,0
25.19,3.98,55.81,93.64,373.51,26.86,0
27.51,6.25,54.12,93.38,387.3,26.46,0
27.69,6.5,53.19,93.11,385.69,26.29,0
25.59,6.98,67.5,92.91,389.7,22.32,1
25.53,3.2,73.25,92.49,406.22,20.14,1
20.9,4.73,62.19,93.14,348.71,26.67,0
20.22,2.23,63.19,93.52,359.81,23.2,0
20.24,4.36,72.25,93.3,360.79,23.46,0
22.19,5.19,65.44,92.54,368.5,20.94,0
19.87,5.81,56.38,93.19,332.48,24.06,0
18.49,4.14,56.06,93.65,316.45,26.37,0
20.11,4.66,57.88,93.59,328.38,26.31,0
23.17,6.85,61.31,93.07,368.12,24.33,0
27.75,4.49,57.81,92.78,402.85,24.28,0
21.76,4.55,82.88,93.35,395.31,16.95,1
20.86,3.65,76.56,93.48,375.22,15.29,0
20.88,3.1,63.94,93.62,335.06,24.68,0
21.09,4.92,62.88,93.58,347.12,22.81,0
18.02,3.81,64.25,93.74,349.05,19.85,0
16.8,3.03,60.94,93.92,328.48,22.18,0
16.87,6.14,60.88,93.77,368.84,16.22,0
18.93,6.3,63.88,93.51,376.96,14.98,0
20.37,2.68,75.06,93.37,388.21,11.79,0
21.41,3.02,68.56,93.34,399.69,13.0,0
19.15,3.84,73.25,93.51,390.46,8.79,0
19.13,3.24,70.5,93.7,367.35,16.97,0
20.92,5.89,71.81,93.51,385.07,12.82,0
23.58,6.59,69.56,93.04,386.44,17.7,0
22.73,4.88,74.94,92.98,376.49,20.68,0
21.3,3.28,74.5,93.56,384.39,14.94,0
21.51,3.0,72.5,93.72,393.73,13.37,0
19.68,3.06,75.38,93.68,383.88,9.34,0
18.01,3.45,62.75,93.67,331.77,20.47,0
19.37,4.16,70.69,93.52,362.11,12.86,0
19.56,3.54,69.88,93.38,356.03,16.44,0
19.52,2.45,67.0,93.53,365.62,15.88,0
18.38,2.83,63.88,93.88,339.87,18.49,0
19.19,2.66,63.5,93.86,350.03,17.61,0
18.6,1.95,62.94,93.83,351.66,16.15,0
17.74,3.09,63.44,93.6,318.05,20.91,0
21.0,5.97,64.56,92.72,344.74,19.46,0
15.72,7.49,59.12,93.25,342.81,16.06,0
11.01,5.07,77.25,93.62,347.29,4.76,1
11.71,3.27,84.38,93.72,351.49,10.58,0
13.26,0.94,71.31,93.61,343.47,11.28,0
12.4,1.95,73.75,93.38,331.51,12.23,0
16.14,3.77,58.5,93.03,304.77,19.16,0
16.8,7.53,46.88,92.72,286.51,20.49,0
11.98,4.59,39.06,93.79,258.71,21.13,0
13.38,6.02,49.19,93.4,282.05,19.76,0
18.26,7.58,58.31,92.08,336.12,17.65,0
12.33,10.59,46.06,92.59,304.02,13.28,0
10.36,8.73,39.12,92.86,261.87,18.97,0
9.06,3.11,57.5,93.07,268.62,19.0,0
10.48,6.76,58.56,93.12,328.52,7.24,0
13.76,7.83,81.25,92.42,362.16,3.82,1
8.7,6.58,58.94,93.09,264.03,19.01,0
12.26,3.92,59.19,92.82,291.83,18.18,0
5.94,6.72,69.44,93.27,322.06,4.42,0
5.06,2.77,60.12,93.53,271.39,17.42,0
-2.51,4.48,64.75,94.29,276.89,10.59,0
-0.82,3.39,72.44,93.74,283.16,3.85,0
3.1,2.75,85.12,93.49,288.84,6.63,0
1.73,4.89,90.38,93.76,291.2,2.2,0
2.49,2.87,91.19,93.17,295.44,4.6,0
7.97,3.58,82.25,93.29,287.9,14.27,0
8.65,4.23,74.88,93.97,284.36,13.51,0
6.15,3.66,71.44,94.36,263.52,16.03,0
12.77,4.84,64.88,93.04,292.12,16.16,0
13.65,4.32,70.25,92.61,313.2,12.4,0
13.61,4.16,86.88,92.49,358.02,2.93,0
5.47,8.73,87.81,92.91,320.26,2.57,1
0.94,8.02,90.19,93.04,304.5,4.33,1
3.44,5.9,79.81,92.89,263.05,15.2,0
7.51,3.43,81.38,92.4,296.42,8.95,0
5.37,5.37,85.44,93.34,294.51,6.83,0
4.55,4.3,70.5,93.63,240.02,15.4,0
6.68,7.49,61.31,91.98,272.39,13.23,0
6.31,3.41,90.06,91.73,307.89,3.19,0
4.37,6.27,86.75,91.84,317.34,3.25,1
3.29,8.16,76.06,92.15,287.91,7.15,0
8.35,3.84,77.06,93.16,268.82,13.79,0
9.63,4.55,76.69,93.33,281.01,11.44,0
5.54,3.84,83.19,94.34,308.7,5.27,0
7.23,4.75,74.94,93.9,276.44,11.58,0
5.9,4.02,62.0,94.36,246.61,13.86,0
8.44,3.74,70.56,93.51,270.45,13.1,0
12.42,3.41,62.56,92.54,291.27,10.51,0
10.41,4.2,66.81,92.83,277.34,13.0,0
9.57,4.38,76.0,92.96,290.27,11.29,0
6.5,3.53,69.69,94.19,290.23,7.62,0
6.68,3.3,84.94,94.3,284.93,10.59,0
9.35,4.86,91.19,93.79,332.36,2.74,0
11.19,4.85,75.94,92.17,305.1,8.42,0
7.41,4.89,81.0,92.05,308.29,3.37,0
4.14,2.83,71.81,92.99,279.83,10.3,0
2.26,4.16,80.25,93.66,300.76,4.06,0
1.23,4.55,71.19,93.9,260.57,9.91,0
2.73,2.78,54.88,93.68,220.99,12.14,0
1.91,2.9,61.62,93.07,223.59,11.95,0
2.07,2.69,75.0,93.29,240.23,11.3,0
3.0,3.41,66.56,93.62,233.47,11.78,0
4.8,5.64,84.38,92.75,275.98,8.14,0
5.6,3.52,82.25,92.82,302.42,5.26,0
2.1,4.91,88.19,93.03,307.01,2.34,0
2.42,7.26,62.5,93.51,236.92,11.11,0
1.67,6.44,64.69,93.83,242.06,10.68,0
3.22,3.3,66.81,93.61,250.32,10.34,0
6.73,3.63,64.62,92.8,254.11,10.76,0
5.52,5.68,65.38,92.57,268.76,8.6,0
2.32,4.89,68.56,93.48,238.36,9.8,0
3.59,4.52,62.19,93.33,240.79,10.48,0
2.84,6.05,64.69,92.57,238.82,10.3,0
-2.61,6.37,61.81,93.33,229.79,8.86,0
-5.14,5.91,52.5,93.87,242.56,8.48,0
-4.86,4.47,54.06,93.37,243.4,10.45,0
-2.6,3.89,61.25,92.69,233.68,9.76,0
-7.08,7.24,74.38,93.37,254.48,2.01,0
-10.06,3.38,74.12,93.74,248.33,3.95,0
-10.24,7.7,81.19,92.39,249.42,1.69,1
-13.47,6.2,68.56,92.97,217.13,8.07,0
-10.03,4.95,67.44,93.32,227.85,6.54,0
-8.06,3.34,82.19,93.32,234.06,8.79,0
-4.1,2.27,84.94,92.61,270.78,4.77,0
-4.41,5.13,86.12,92.36,273.08,3.67,0
-12.19,4.76,74.88,93.54,248.41,6.9,0
-10.21,3.29,85.69,94.35,233.33,9.07,0
-3.14,2.18,86.56,93.68,274.3,4.97,0
0.16,4.39,92.0,93.37,285.02,6.8,0
0.62,6.09,88.25,93.47,263.85,8.05,0
-0.84,3.47,82.38,93.54,263.98,8.85,0
1.58,4.22,78.62,93.36,248.41,9.15,0
0.9,3.11,83.56,92.81,260.78,6.0,0
-1.78,4.67,87.38,92.84,279.22,2.27,0
-3.65,6.8,87.38,92.74,272.27,2.59,0
-9.17,10.54,67.5,93.13,244.77,3.14,0
-10.62,12.8,72.69,92.18,238.1,3.98,0
-7.26,9.6,74.56,92.78,259.32,4.54,0
-5.08,6.52,80.0,93.64,252.98,5.14,0
-5.34,4.1,85.25,94.2,216.69,9.91,0
-5.58,5.09,93.56,93.51,265.62,4.52,0
-3.06,2.97,85.69,92.81,248.3,8.6,0
-5.94,1.88,90.56,93.85,216.95,9.37,0
-10.3,3.82,86.06,94.38,231.21,6.69,0
-10.72,4.7,81.62,93.98,245.98,4.79,0
-8.99,1.75,88.12,94.17,262.62,5.18,0
-7.5,1.84,89.19,94.37,270.84,4.27,0
-7.05,4.44,90.25,93.81,263.23,3.68,0
-8.44,8.84,76.75,93.67,245.45,4.85,0
-15.15,9.15,64.62,94.69,161.26,10.72,0
-15.84,3.2,74.31,94.6,170.09,10.74,0
-13.23,3.62,80.0,94.38,191.3,10.69,0
-3.69,4.34,81.44,93.9,232.26,9.73,0
-0.92,3.58,91.0,94.26,240.96,10.03,0
0.25,4.62,84.19,93.79,248.84,9.75,0
1.9,3.12,76.12,92.89,242.02,10.11,0
1.58,3.98,89.44,93.47,258.72,9.61,0
1.62,2.45,86.44,93.82,263.22,8.24,0
1.93,4.16,74.56,93.14,241.25,10.75,0
1.46,3.56,80.56,92.77,250.55,9.46,0
0.66,2.44,86.81,92.78,263.91,9.93,0
-0.13,3.19,92.69,92.24,304.88,4.3,0
1.85,2.7,89.38,91.85,298.18,6.67,0
1.75,2.91,89.81,92.15,292.6,5.38,0
3.29,8.34,90.25,91.35,309.77,2.93,0
2.61,4.47,82.56,91.24,263.18,10.36,0
-0.91,9.94,56.75,92.1,253.84,8.12,0
-1.5,10.84,49.81,92.76,225.34,10.83,0
-1.46,3.47,61.88,93.37,241.76,10.86,0
-1.99,3.8,71.25,93.64,235.88,11.84,0
-5.38,2.96,57.25,94.39,249.0,7.83,0
-4.83,2.54,67.56,93.75,240.7,11.82,0
-2.44,2.02,76.19,93.45,220.62,12.07,0
-2.15,5.52,82.62,93.33,252.06,9.88,0
-0.25,2.71,80.75,92.99,284.01,5.5,0
0.44,2.96,76.38,93.34,233.41,13.24,0
1.04,4.68,88.06,93.14,283.98,4.48,0
-0.39,5.14,92.44,92.88,295.91,3.15,0
-1.34,3.66,87.81,92.97,291.3,3.6,0
-1.24,2.01,81.56,93.39,287.12,4.69,0
-0.56,2.46,84.62,93.02,302.2,4.83,0
-6.53,6.98,63.44,93.48,233.04,11.58,0
-8.81,4.98,72.25,93.86,207.16,11.93,0
-6.69,4.09,83.06,93.42,251.88,9.67,0
-2.35,1.8,74.44,93.05,270.18,9.15,0
-0.47,2.86,71.75,93.05,265.2,10.87,0
2.12,4.69,74.5,92.84,286.81,12.05,0
-5.56,11.9,48.12,93.85,195.9,15.22,0
-4.94,8.17,48.44,93.88,196.65,15.81,0
-4.34,4.87,55.56,93.91,236.23,11.25,0
-0.6,2.52,58.69,93.5,232.92,15.46,0
1.44,3.09,63.06,93.27,263.48,12.35,0
-1.1,4.51,77.19,93.25,293.11,7.09,0
-1.85,3.13,81.0,93.3,289.21,4.62,0
-3.55,6.06,78.81,93.3,277.36,4.98,0
-6.31,3.85,77.31,93.3,255.93,11.19,0
-6.52,4.98,73.06,93.53,242.22,13.18,0
-3.77,3.08,80.0,93.25,240.52,15.29,0
-2.46,2.77,78.81,93.08,251.8,14.68,0
1.81,4.3,74.19,93.48,244.86,17.24,0
1.65,2.78,72.75,93.33,263.04,13.98,0
-0.2,6.02,79.06,93.18,279.84,9.39,0
-0.98,2.24,84.56,93.82,302.49,5.06,0
0.56,2.02,82.56,93.49,283.66,10.17,0
2.62,3.38,75.56,93.34,250.7,17.3,0
4.44,5.58,74.19,93.15,254.29,17.66,0
4.25,6.41,88.94,92.82,297.74,13.5,0
3.94,4.19,78.69,93.36,301.95,12.02,0
